Encoding,Horizon,Problem,Type, counter wrac1_y_wrbc1, counter wrbc1_b_wrcc1, counter wrcc1_x_wrdc1, counter wrdc1_b_wrec1, counter wrec1_y_wrfc1,Total,Diff
clingcon,900,./v2_r/30noon,p5,268.5760010480881,185.47199201583862,192.6321978867054,195.94499391317368,209.76199972629547,1052.38718459010127,0
fire,900,./v2_r/30noon,p5,271.43540170788765,188.92799186706543,196.20819786190987,198.55199383199215,212.2339997291565,1067.35758499801160,14.970
clingcon,900,./v2_r/30noon,p2,268.5760010480881,185.47199201583862,,,,454.04799306392672,0
fire,900,./v2_r/30noon,p2,274.92720180749893,187.7759919166565,,,,462.70319372415543,8.655
clingcon,900,./v2_r/30noon,p1,268.8530011475086,,,,,268.8530011475086,0.876
fire,900,./v2_r/30noon,p1,267.9770018160343,,,,,267.9770018160343,0
clingcon,900,./v2_r/30eve,p3,200.6414021551609,171.07199263572693,176.97599810361862,,,548.68939289450645,0
fire,900,./v2_r/30eve,p3,201.29740217328072,172.22399258613586,180.5519980788231,,,554.07339283823968,5.384
clingcon,900,./v2_r/30eve,p4,200.6414021551609,171.07199263572693,176.97599810361862,170.64199469983578,,719.33138759434223,1.182
fire,900,./v2_r/30eve,p4,201.29740217328072,172.22399258613586,175.1879981160164,169.4399947375059,,718.14938761293888,0
clingcon,900,./v2_r/30eve,p5,200.6414021551609,171.07199263572693,176.97599810361862,170.69999469816685,185.62999963760376,905.01938723027706,0
fire,900,./v2_r/30eve,p5,200.6414021551609,171.6479926109314,180.5519980788231,173.42299461364746,185.62999963760376,911.89438709616662,6.875
clingcon,900,./v2_r/30eve,p2,200.6414021551609,171.07199263572693,,,,371.71339479088783,0
fire,900,./v2_r/30eve,p2,200.6414021551609,171.6479926109314,,,,372.2893947660923,0.576
clingcon,900,./v2_r/30eve,p1,200.6414021551609,,,,,200.6414021551609,
fire,900,./v2_r/30eve,p1,200.6414021551609,,,,,200.6414021551609,
