Horizon,Problem,Bound
660,./Instancesv2/sippv2/fixlen4/muse/p04[count=350],15870399
660,./Instancesv2/sippv2/fixlen4/muse/p05[count=350],15892599
660,./Instancesv2/sippv2/fixlen4/muse/p02[count=350],15657499
660,./Instancesv2/sippv2/fixlen4/muse/p01[count=350],20833499
660,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350],15724799
660,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350],15379199
660,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350],15551999
660,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350],15724799
660,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350],24163060
660,./Instancesv2/sippv2/fixlen4/26noon/p03[count=350],15609599
660,./Instancesv2/sippv2/fixlen4/26noon/p04[count=350],16447180
660,./Instancesv2/sippv2/fixlen4/26noon/p05[count=350],16473599
660,./Instancesv2/sippv2/fixlen4/26noon/p02[count=350],16819199
660,./Instancesv2/sippv2/fixlen4/26noon/p01[count=350],22785400
660,./Instancesv2/sippv2/fixlen4/30noon/p03[count=350],17107199
660,./Instancesv2/sippv2/fixlen4/30noon/p04[count=350],16862799
660,./Instancesv2/sippv2/fixlen4/30noon/p05[count=350],17049599
660,./Instancesv2/sippv2/fixlen4/30noon/p02[count=350],17107199
660,./Instancesv2/sippv2/fixlen4/30noon/p01[count=350],23449160
660,./Instancesv2/sippv2/fixlen4/30eve/p03[count=350],12902399
660,./Instancesv2/sippv2/fixlen4/30eve/p04[count=350],12902399
660,./Instancesv2/sippv2/fixlen4/30eve/p05[count=350],12902399
660,./Instancesv2/sippv2/fixlen4/30eve/p02[count=350],12902399
660,./Instancesv2/sippv2/fixlen4/30eve/p01[count=350],14691880
720,./Instancesv2/sippv2/fixlen4/30morn/p03[count=350],6796800
720,./Instancesv2/sippv2/fixlen4/30morn/p04[count=350],6796800
720,./Instancesv2/sippv2/fixlen4/30morn/p05[count=350],6796800
720,./Instancesv2/sippv2/fixlen4/30morn/p02[count=350],6912000
720,./Instancesv2/sippv2/fixlen4/30morn/p01[count=350],8261820
720,./Instancesv2/sippv2/fixlen4/26morn/p03[count=350],16531199
720,./Instancesv2/sippv2/fixlen4/26morn/p04[count=350],16344299
720,./Instancesv2/sippv2/fixlen4/26morn/p05[count=350],16012799
720,./Instancesv2/sippv2/fixlen4/26morn/p02[count=350],16531199
720,./Instancesv2/sippv2/fixlen4/26morn/p01[count=350],19220300
720,./Instancesv2/sippv2/fixlen4/muse/p03[count=350],15892599
720,./Instancesv2/sippv2/fixlen4/muse/p04[count=350],15870399
720,./Instancesv2/sippv2/fixlen4/muse/p05[count=350],15892599
720,./Instancesv2/sippv2/fixlen4/muse/p02[count=350],16086599
720,./Instancesv2/sippv2/fixlen4/muse/p01[count=350],22737699
720,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350],17855999
720,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350],16646399
720,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350],17395199
720,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350],18086399
720,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350],25627980
720,./Instancesv2/sippv2/fixlen4/26noon/p03[count=350],17107199
720,./Instancesv2/sippv2/fixlen4/26noon/p04[count=350],17107199
720,./Instancesv2/sippv2/fixlen4/26noon/p05[count=350],17307499
720,./Instancesv2/sippv2/fixlen4/26noon/p02[count=350],17452799
720,./Instancesv2/sippv2/fixlen4/26noon/p01[count=350],24723980
720,./Instancesv2/sippv2/fixlen4/30noon/p03[count=350],18522840
720,./Instancesv2/sippv2/fixlen4/30noon/p04[count=350],18522840
720,./Instancesv2/sippv2/fixlen4/30noon/p05[count=350],18577860
720,./Instancesv2/sippv2/fixlen4/30noon/p02[count=350],18719999
720,./Instancesv2/sippv2/fixlen4/30noon/p01[count=350],25119460
720,./Instancesv2/sippv2/fixlen4/30eve/p03[count=350],13939199
720,./Instancesv2/sippv2/fixlen4/30eve/p04[count=350],14227199
720,./Instancesv2/sippv2/fixlen4/30eve/p05[count=350],13996799
720,./Instancesv2/sippv2/fixlen4/30eve/p02[count=350],13651199
720,./Instancesv2/sippv2/fixlen4/30eve/p01[count=350],16640940
780,./Instancesv2/sippv2/fixlen4/30morn/p03[count=350],7084800
780,./Instancesv2/sippv2/fixlen4/30morn/p04[count=350],7084800
780,./Instancesv2/sippv2/fixlen4/30morn/p05[count=350],7084800
780,./Instancesv2/sippv2/fixlen4/30morn/p02[count=350],7372800
780,./Instancesv2/sippv2/fixlen4/30morn/p01[count=350],8646520
780,./Instancesv2/sippv2/fixlen4/26morn/p03[count=350],17798399
780,./Instancesv2/sippv2/fixlen4/26morn/p04[count=350],17798399
780,./Instancesv2/sippv2/fixlen4/26morn/p05[count=350],17625599
780,./Instancesv2/sippv2/fixlen4/26morn/p02[count=350],17798399
780,./Instancesv2/sippv2/fixlen4/26morn/p01[count=350],20674840
780,./Instancesv2/sippv2/fixlen4/muse/p03[count=350],18293899
780,./Instancesv2/sippv2/fixlen4/muse/p04[count=350],18199799
780,./Instancesv2/sippv2/fixlen4/muse/p05[count=350],18293899
780,./Instancesv2/sippv2/fixlen4/muse/p02[count=350],18420799
780,./Instancesv2/sippv2/fixlen4/muse/p01[count=350],24765699
780,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350],19123199
780,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350],17971199
780,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350],18310499
780,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350],19123199
780,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350],28077960
780,./Instancesv2/sippv2/fixlen4/26noon/p03[count=350],18316799
780,./Instancesv2/sippv2/fixlen4/26noon/p04[count=350],18719999
780,./Instancesv2/sippv2/fixlen4/26noon/p05[count=350],19238399
780,./Instancesv2/sippv2/fixlen4/26noon/p02[count=350],19526399
780,./Instancesv2/sippv2/fixlen4/26noon/p01[count=350],27025420
780,./Instancesv2/sippv2/fixlen4/30noon/p03[count=350],19929599
780,./Instancesv2/sippv2/fixlen4/30noon/p04[count=350],19086799
780,./Instancesv2/sippv2/fixlen4/30noon/p05[count=350],19258399
780,./Instancesv2/sippv2/fixlen4/30noon/p02[count=350],20102399
780,./Instancesv2/sippv2/fixlen4/30noon/p01[count=350],27295260
