Encoding,Horizon,Problem, counter wrac1_y_wrbc1, counter wrbc1_b_wrcc1, counter wrcc1_x_wrdc1, counter wrdc1_b_wrec1, counter wrec1_y_wrfc1,Total
clingcon,600 (46),./Instancesv2_round/sippv2/fixlen4/26noon/p02[count=350],199.77300092577934,122.68799471855164,,,,322.46099564433098
clingcon,600 (46),./Instancesv2_round/sippv2/fixlen4/30eve/p03[count=350],139.73920154571533,121.5359947681427,119.92099872231483,,,381.19619503617286
clingcon,600 (46),./Instancesv2_round/sippv2/fixlen4/30eve/p02[count=350],140.80120158195496,122.68799471855164,,,,263.48919630050660
clingcon,660 (47),./Instancesv2_round/sippv2/fixlen4/30morn/p03[count=350],77.35580030083656,61.63199734687805,71.4733991920948,,,210.46119683980941
clingcon,660 (47),./Instancesv2_round/sippv2/fixlen4/30morn/p04[count=350],77.35580030083656,61.63199734687805,71.4733991920948,67.44499790668488,,277.90619474649429
clingcon,660 (47),./Instancesv2_round/sippv2/fixlen4/30morn/p05[count=350],77.35580030083656,61.63199734687805,71.4733991920948,67.44499790668488,70.74600005149841,348.65219479799270
clingcon,660 (47),./Instancesv2_round/sippv2/fixlen4/30morn/p02[count=350],77.35580030083656,61.63199734687805,,,,138.98779764771461
clingcon,660 (47),./Instancesv2_round/sippv2/fixlen4/30morn/p01[count=350],77.35580030083656,,,,,77.35580030083656
clingcon,660 (47),./Instancesv2_round/sippv2/fixlen4/26morn/p04[count=350],179.246801674366,138.23999404907227,134.95799839496613,134.23599582910538,,586.68078994750978
clingcon,660 (47),./Instancesv2_round/sippv2/fixlen4/26morn/p05[count=350],179.246801674366,138.23999404907227,134.95799839496613,134.23599582910538,143.49199998378754,730.17278993129732
clingcon,660 (47),./Instancesv2_round/sippv2/fixlen4/26morn/p02[count=350],179.246801674366,138.23999404907227,,,,317.48679572343827
clingcon,660 (47),./Instancesv2_round/sippv2/fixlen4/26morn/p01[count=350],179.246801674366,,,,,179.246801674366
clingcon,660 (47),./Instancesv2_round/sippv2/fixlen4/muse/p03[count=350],191.4769952595234,122.75899523496628,150.93500125408173,,,465.17099174857141
clingcon,660 (47),./Instancesv2_round/sippv2/fixlen4/muse/p04[count=350],191.4769952595234,122.75899523496628,150.93500125408173,270.2659924030304,,735.43698415160181
clingcon,660 (47),./Instancesv2_round/sippv2/fixlen4/muse/p02[count=350],191.4769952595234,122.75899523496628,,,,314.23599049448968
clingcon,660 (47),./Instancesv2_round/sippv2/fixlen4/muse/p01[count=350],191.4769952595234,,,,,191.4769952595234
clingcon,660 (47),./Instancesv2_round/sippv2/fixlen4/26eve/p03[count=350],202.80680125951767,126.71999454498291,138.59119832515717,,,468.11799412965775
clingcon,660 (47),./Instancesv2_round/sippv2/fixlen4/26eve/p04[count=350],202.80680125951767,126.71999454498291,138.59119832515717,135.30099579691887,,603.41898992657662
clingcon,660 (47),./Instancesv2_round/sippv2/fixlen4/26noon/p01[count=350],212.998201161623,,,,,212.998201161623
clingcon,660 (47),./Instancesv2_round/sippv2/fixlen4/30noon/p01[count=350],212.70840084552765,,,,,212.70840084552765
clingcon,660 (47),./Instancesv2_round/sippv2/fixlen4/30eve/p03[count=350],154.5678018629551,132.4799942970276,132.59739860892296,,,419.64519476890566
clingcon,660 (47),./Instancesv2_round/sippv2/fixlen4/30eve/p04[count=350],154.5678018629551,131.32799434661865,132.59739860892296,129.39899598062038,,547.89219079911709
clingcon,660 (47),./Instancesv2_round/sippv2/fixlen4/30eve/p05[count=350],154.5678018629551,131.32799434661865,132.59739860892296,129.39899598062038,146.31499975919724,694.20719055831433
clingcon,660 (47),./Instancesv2_round/sippv2/fixlen4/30eve/p01[count=350],154.5678018629551,,,,,154.5678018629551
clingcon,720 (39),./Instancesv2_round/sippv2/fixlen4/30morn/p03[count=350],81.88260033726692,66.81599712371826,79.5995991230011,,,228.29819658398628
clingcon,720 (39),./Instancesv2_round/sippv2/fixlen4/30morn/p04[count=350],81.88260033726692,66.81599712371826,79.5995991230011,75.15799766778946,,303.45619425177574
clingcon,720 (39),./Instancesv2_round/sippv2/fixlen4/30morn/p05[count=350],81.88260033726692,66.81599712371826,79.5995991230011,75.15799766778946,78.51500004529953,381.97119429707527
clingcon,720 (39),./Instancesv2_round/sippv2/fixlen4/30morn/p02[count=350],81.88260033726692,66.81599712371826,,,,148.69859746098518
clingcon,720 (39),./Instancesv2_round/sippv2/fixlen4/26morn/p04[count=350],188.70820155739784,151.48799347877502,150.0527982711792,143.8679955303669,,634.11698883771896
clingcon,720 (39),./Instancesv2_round/sippv2/fixlen4/26morn/p05[count=350],188.70820155739784,151.48799347877502,150.0527982711792,143.8679955303669,153.26199996471405,787.37898880243301
clingcon,720 (39),./Instancesv2_round/sippv2/fixlen4/26morn/p02[count=350],188.70820155739784,151.48799347877502,,,,340.19619503617286
clingcon,720 (39),./Instancesv2_round/sippv2/fixlen4/26morn/p01[count=350],189.36420157551765,,,,,189.36420157551765
clingcon,720 (39),./Instancesv2_round/sippv2/fixlen4/muse/p03[count=350],203.10199496150017,138.3589946627617,167.74700152873993,,,509.20799115300180
clingcon,720 (39),./Instancesv2_round/sippv2/fixlen4/muse/p04[count=350],203.10199496150017,138.3589946627617,167.74700152873993,294.5999917984009,,803.80798295140270
