Time,Horizon,Shot_duration,Models_per_Shot,Problem,NumShotsInSummary,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total
0.00,900,100,2,./Instancesv2_round/sippv2/fixlen4/26eve/p03[count=350].lp,,,,,,,
0.00,900,100,2,./Instancesv2_round/sippv2/fixlen4/26eve/p04[count=350].lp,,,,,,,
0.00,900,100,2,./Instancesv2_round/sippv2/fixlen4/26eve/p05[count=350].lp,,,,,,,
0.00,900,100,2,./Instancesv2_round/sippv2/fixlen4/muse/p01[count=350].lp,,,,,,,
0.00,900,100,2,./Instancesv2_round/sippv2/fixlen4/muse/p02[count=350].lp,,,,,,,
0.00,900,100,2,./Instancesv2_round/sippv2/fixlen4/muse/p03[count=350].lp,,,,,,,
0.00,900,100,2,./Instancesv2_round/sippv2/fixlen4/muse/p04[count=350].lp,,,,,,,
0.00,900,100,2,./Instancesv2_round/sippv2/fixlen4/muse/p05[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2_round/sippv2/fixlen4/26eve/p01[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2_round/sippv2/fixlen4/26eve/p02[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2_round/sippv2/fixlen4/26eve/p03[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2_round/sippv2/fixlen4/26eve/p04[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2_round/sippv2/fixlen4/26eve/p05[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2_round/sippv2/fixlen4/muse/p01[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2_round/sippv2/fixlen4/muse/p02[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2_round/sippv2/fixlen4/muse/p03[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2_round/sippv2/fixlen4/muse/p04[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2_round/sippv2/fixlen4/muse/p05[count=350].lp,,,,,,,
26.15,900,150,1,./Instancesv2_round/sippv2/fixlen4/26eve/p01[count=350].lp,6,27083420,,,,,27083420
26.64,900,150,1,./Instancesv2_round/sippv2/fixlen4/26eve/p02[count=350].lp,6,27083420,18086400,,,,45169820
26.81,900,150,1,./Instancesv2_round/sippv2/fixlen4/26eve/p03[count=350].lp,6,25533840,17049600,18865460,,,61448900
27.24,900,150,1,./Instancesv2_round/sippv2/fixlen4/26eve/p04[count=350].lp,6,27132980,17798400,18865460,18694300,,82491140
27.18,900,150,1,./Instancesv2_round/sippv2/fixlen4/26eve/p05[count=350].lp,6,26009780,16819200,18208700,18167100,22141400,101346180
22.13,900,150,1,./Instancesv2_round/sippv2/fixlen4/muse/p01[count=350].lp,6,24098700,,,,,24098700
22.37,900,150,1,./Instancesv2_round/sippv2/fixlen4/muse/p02[count=350].lp,6,24407500,16977600,,,,41385100
22.29,900,150,1,./Instancesv2_round/sippv2/fixlen4/muse/p03[count=350].lp,6,24407500,16977600,21307200,,,62692300
23.02,900,150,1,./Instancesv2_round/sippv2/fixlen4/muse/p04[count=350].lp,6,24098700,16732400,20980300,34720000,,96531400
