Time,Horizon,Shot_duration,Model_Detail,Problem,NumShotsInSummary,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total,Encoding
13.45,600,100.0,2,./Instancesv2/sippv2/fixlen4/26noon/p02[count=350].lp,6.0,20676440.0,15552000.0,,,,36228440.0,multi_shot
11.5,600,100.0,2,./Instancesv2/sippv2/fixlen4/26noon/p03[count=350].lp,6.0,20676440.0,15552000.0,15061480.0,,,51289920.0,multi_shot
13.83,600,100.0,2,./Instancesv2/sippv2/fixlen4/26noon/p04[count=350].lp,6.0,20775800.0,15552000.0,15061480.0,14679400.0,,66068680.0,multi_shot
30.12,600,100.0,2,./Instancesv2/sippv2/fixlen4/26noon/p05[count=350].lp,6.0,20614980.0,15552000.0,15061480.0,14653300.0,16679600.0,82561360.0,multi_shot
16.41,600,100.0,2,./Instancesv2/sippv2/fixlen4/30eve/p01[count=350].lp,6.0,14145720.0,,,,,14145720.0,multi_shot
101.6,600,100.0,2,./Instancesv2/sippv2/fixlen4/30eve/p02[count=350].lp,6.0,14145720.0,12268800.0,,,,26414520.0,multi_shot
15.95,600,100.0,2,./Instancesv2/sippv2/fixlen4/30eve/p03[count=350].lp,6.0,14067220.0,12211200.0,13001860.0,,,39280280.0,multi_shot
14.64,600,100.0,2,./Instancesv2/sippv2/fixlen4/30eve/p04[count=350].lp,6.0,14014520.0,12211200.0,12778360.0,13060100.0,,52064180.0,multi_shot
13.98,600,100.0,2,./Instancesv2/sippv2/fixlen4/30eve/p05[count=350].lp,6.0,13996680.0,12096000.0,12823060.0,13048500.0,14384300.0,66348540.0,multi_shot
12.41,600,100.0,2,./Instancesv2/sippv2/fixlen4/30morn/p01[count=350].lp,6.0,7120300.0,,,,,7120300.0,multi_shot
0.0,600,100.0,2,./Instancesv2/sippv2/fixlen4/30morn/p02[count=350].lp,,,,,,,,multi_shot
493.56,600,100.0,2,./Instancesv2/sippv2/fixlen4/30morn/p03[count=350].lp,6.0,7170300.0,5875200.0,6389740.0,,,19435240.0,multi_shot
15.27,600,100.0,2,./Instancesv2/sippv2/fixlen4/30morn/p04[count=350].lp,6.0,7170300.0,5875200.0,6389740.0,6226000.0,,25661240.0,multi_shot
19.85,600,100.0,2,./Instancesv2/sippv2/fixlen4/30morn/p05[count=350].lp,6.0,7170300.0,5875200.0,6389740.0,6214400.0,6250600.0,31900240.0,multi_shot
0.0,600,100.0,2,./Instancesv2/sippv2/fixlen4/30noon/p01[count=350].lp,,,,,,,,multi_shot
13.51,600,100.0,2,./Instancesv2/sippv2/fixlen4/30noon/p02[count=350].lp,6.0,20860020.0,15494400.0,,,,36354420.0,multi_shot
12.06,600,100.0,2,./Instancesv2/sippv2/fixlen4/30noon/p03[count=350].lp,6.0,20860020.0,15494400.0,15240280.0,,,51594700.0,multi_shot
12.57,600,100.0,2,./Instancesv2/sippv2/fixlen4/30noon/p04[count=350].lp,6.0,20860020.0,15494400.0,15240280.0,16234900.0,,67829600.0,multi_shot
16.76,600,100.0,2,./Instancesv2/sippv2/fixlen4/30noon/p05[count=350].lp,6.0,20860020.0,15494400.0,15240280.0,16246500.0,17715700.0,85556900.0,multi_shot
804.82,600,100.0,0,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,6.0,22037740.0,,,,,22037740.0,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,,,,,,,,multi_shot
55.09,600,100.0,0,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,6.0,19527400.0,,,,,19527400.0,multi_shot
159.96,600,100.0,0,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,6.0,19527400.0,14337900.0,,,,33865300.0,multi_shot
340.72,600,100.0,0,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,6.0,19527400.0,14337900.0,16680000.0,,,50545300.0,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/26morn/p01[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/26morn/p02[count=350].lp,,,,,,,,multi_shot
837.28,600,100.0,0,./Instancesv2/sippv2/fixlen4/26morn/p03[count=350].lp,6.0,16315700.0,13824000.0,15204720.0,,,45344420.0,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/26morn/p04[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/26morn/p05[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/26noon/p01[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/26noon/p02[count=350].lp,,,,,,,,multi_shot
813.86,600,100.0,0,./Instancesv2/sippv2/fixlen4/26noon/p03[count=350].lp,6.0,20775800.0,15552000.0,15061480.0,,,51389280.0,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/26noon/p04[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/26noon/p05[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/30eve/p01[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/30eve/p02[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/30eve/p03[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/30eve/p04[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/30eve/p05[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/30morn/p01[count=350].lp,,,,,,,,multi_shot
