Time,Horizon,Models,Problem,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total
0.0,600,0,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/26morn/p01[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/26morn/p02[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/26morn/p03[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/26morn/p04[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/26morn/p05[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/26noon/p01[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/26noon/p02[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/26noon/p03[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/26noon/p04[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/26noon/p05[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/30eve/p01[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/30eve/p02[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/30eve/p03[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/30eve/p04[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/30eve/p05[count=350].lp,,,,,,
314.865,600,0,./Instancesv2/sippv2/fixlen4/30morn/p01[count=350].lp,7170300,,,,,7170300
681.288,600,0,./Instancesv2/sippv2/fixlen4/30morn/p02[count=350].lp,7170300,5875200,,,,100792800
691.620,600,0,./Instancesv2/sippv2/fixlen4/30morn/p03[count=350].lp,7120300,5875200,6479140,,,151982820
0.0,600,0,./Instancesv2/sippv2/fixlen4/30morn/p04[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/30morn/p05[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/30noon/p01[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/30noon/p02[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/30noon/p03[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/30noon/p04[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/30noon/p05[count=350].lp,,,,,,
13.541,900,1,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,30830640,,,,,30830640
13.410,900,1,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,30830640,21196800,,,,52027440
13.278,900,1,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,30830640,21196800,22538880,,,74566320
13.130,900,1,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,30830640,21196800,22538880,20943600,,95509920
13.049,900,1,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,30830640,21196800,22538880,20943600,24531000,120040920
11.939,900,1,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,29026200,,,,,29026200
12.040,900,1,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,29026200,20929800,,,,49956000
12.049,900,1,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,29026200,20929800,24949800,,,74905800
11.513,900,1,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,29026200,20929800,24949800,33203100,,108108900
11.828,900,1,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,29026200,20929800,24949800,33203100,35525400,143634300
14.800,900,1,./Instancesv2/sippv2/fixlen4/26morn/p01[count=350].lp,24025740,,,,,24025740
15.042,900,1,./Instancesv2/sippv2/fixlen4/26morn/p02[count=350].lp,24025740,19526400,,,,43552140
14.448,900,1,./Instancesv2/sippv2/fixlen4/26morn/p03[count=350].lp,24025740,19526400,22807080,,,66359220
14.573,900,1,./Instancesv2/sippv2/fixlen4/26morn/p04[count=350].lp,24025740,19526400,22807080,21069600,,87428820
14.385,900,1,./Instancesv2/sippv2/fixlen4/26morn/p05[count=350].lp,24025740,19526400,22807080,21069600,20952900,108381720
15.048,900,1,./Instancesv2/sippv2/fixlen4/26noon/p01[count=350].lp,30978040,,,,,30978040
14.933,900,1,./Instancesv2/sippv2/fixlen4/26noon/p02[count=350].lp,30978040,22348800,,,,53326840
14.726,900,1,./Instancesv2/sippv2/fixlen4/26noon/p03[count=350].lp,30978040,22348800,22552680,,,75879520
14.628,900,1,./Instancesv2/sippv2/fixlen4/26noon/p04[count=350].lp,30978040,22348800,22552680,21975600,,97855120
14.444,900,1,./Instancesv2/sippv2/fixlen4/26noon/p05[count=350].lp,30978040,22348800,22552680,21975600,23306700,121161820
14.868,900,1,./Instancesv2/sippv2/fixlen4/30eve/p01[count=350].lp,20423660,,,,,20423660
14.778,900,1,./Instancesv2/sippv2/fixlen4/30eve/p02[count=350].lp,20423660,16992000,,,,37415660
14.703,900,1,./Instancesv2/sippv2/fixlen4/30eve/p03[count=350].lp,20423660,16992000,18975560,,,56391220
14.564,900,1,./Instancesv2/sippv2/fixlen4/30eve/p04[count=350].lp,20423660,16992000,18975560,17915100,,74306320
14.442,900,1,./Instancesv2/sippv2/fixlen4/30eve/p05[count=350].lp,20423660,16992000,18975560,17915100,19963800,94270120
13.935,900,1,./Instancesv2/sippv2/fixlen4/30morn/p01[count=350].lp,10251260,,,,,10251260
13.865,900,1,./Instancesv2/sippv2/fixlen4/30morn/p02[count=350].lp,10251260,8121600,,,,18372860
13.769,900,1,./Instancesv2/sippv2/fixlen4/30morn/p03[count=350].lp,10251260,8121600,9625300,,,27998160
13.725,900,1,./Instancesv2/sippv2/fixlen4/30morn/p04[count=350].lp,10251260,8121600,9625300,8673800,,36671960
13.700,900,1,./Instancesv2/sippv2/fixlen4/30morn/p05[count=350].lp,10251260,8121600,9625300,8673800,9005100,45677060
13.741,900,1,./Instancesv2/sippv2/fixlen4/30noon/p01[count=350].lp,31406320,,,,,31406320
13.682,900,1,./Instancesv2/sippv2/fixlen4/30noon/p02[count=350].lp,31406320,21772800,,,,53179120
13.546,900,1,./Instancesv2/sippv2/fixlen4/30noon/p03[count=350].lp,31406320,21772800,22579040,,,75758160
13.453,900,1,./Instancesv2/sippv2/fixlen4/30noon/p04[count=350].lp,31406320,21772800,22579040,21809000,,97567160
13.318,900,1,./Instancesv2/sippv2/fixlen4/30noon/p05[count=350].lp,31406320,21772800,22579040,21809000,22953800,120520960
0.0,900,2,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,,,,,,
0.0,900,2,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,,,,,,
0.0,900,2,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,,,,,,
0.0,900,2,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,,,,,,
13.753,900,2,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,30830640,21196800,22538880,20943600,24695800,240246640
0.0,900,2,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,,,,,,
0.0,900,2,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,,,,,,
