Time,Horizon,Shot_duration,Model_Detail,Problem,NumShotsInSummary,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total,Encoding
21.29,600,450.0,1,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,2.0,19495700.0,13970100.0,,,,33465800.0,multi_shot
40.44,600,450.0,1,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,2.0,19217100.0,14337900.0,16680000.0,,,50235000.0,multi_shot
31.71,600,450.0,1,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,2.0,19495700.0,13970100.0,16119600.0,21388500.0,,70973900.0,multi_shot
38.15,600,450.0,1,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,2.0,19527400.0,14337900.0,16680000.0,21575600.0,23059700.0,95180600.0,multi_shot
181.36,600,450.0,2,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,2.0,22037740.0,,,,,22037740.0,multi_shot
18.25,600,450.0,2,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,2.0,21777260.0,14630400.0,,,,36407660.0,multi_shot
29.82,600,450.0,2,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,2.0,22037740.0,14284800.0,15025920.0,,,51348460.0,multi_shot
26.96,600,450.0,2,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,2.0,21880120.0,14112000.0,15025920.0,15475200.0,,66493240.0,multi_shot
15.89,600,450.0,2,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,2.0,21973260.0,14572800.0,15025920.0,15483900.0,18822100.0,85877980.0,multi_shot
31.8,600,450.0,2,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,2.0,19489000.0,,,,,19489000.0,multi_shot
22.0,600,450.0,2,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,2.0,19269000.0,14337900.0,,,,33606900.0,multi_shot
48.29,600,450.0,2,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,2.0,19217100.0,14337900.0,16680000.0,,,50235000.0,multi_shot
47.28,600,450.0,2,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,2.0,19217100.0,14337900.0,16680000.0,21657700.0,,71892700.0,multi_shot
14.8,600,450.0,2,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,2.0,19495700.0,13970100.0,16119600.0,21657700.0,23177400.0,94420500.0,multi_shot
0.0,600,450.0,0,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,,,,,,,,multi_shot
0.0,600,450.0,0,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,,,,,,,,multi_shot
0.0,600,450.0,0,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,,,,,,,,multi_shot
0.0,600,450.0,0,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,,,,,,,,multi_shot
0.0,600,450.0,0,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,,,,,,,,multi_shot
0.0,600,450.0,0,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,,,,,,,,multi_shot
146.31,600,450.0,0,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,2.0,19527400.0,14337900.0,,,,33865300.0,multi_shot
368.41,600,450.0,0,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,2.0,19527400.0,14337900.0,16680000.0,,,50545300.0,multi_shot
667.77,600,450.0,0,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,2.0,19527400.0,14337900.0,16680000.0,22232400.0,,72777700.0,multi_shot
0.0,600,450.0,0,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,,,,,,,,multi_shot
29.44,900,100.0,1,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,9.0,31379340.0,,,,,31379340.0,multi_shot
29.85,900,100.0,1,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,9.0,31379340.0,21139200.0,,,,52518540.0,multi_shot
243.22,900,100.0,1,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,9.0,29608480.0,19584000.0,22047180.0,,,71239660.0,multi_shot
30.69,900,100.0,1,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,9.0,31344460.0,21139200.0,22538880.0,21129700.0,,96152240.0,multi_shot
702.05,900,100.0,1,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,9.0,31010940.0,21484800.0,22870120.0,20680800.0,24778200.0,120824860.0,multi_shot
25.17,900,100.0,1,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,9.0,28824400.0,,,,,28824400.0,multi_shot
25.3,900,100.0,1,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,9.0,28824400.0,20929800.0,,,,49754200.0,multi_shot
24.8,900,100.0,1,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,9.0,28824800.0,20534000.0,24949800.0,,,74308600.0,multi_shot
25.09,900,100.0,1,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,9.0,28824400.0,20929800.0,24949800.0,33531500.0,,108235500.0,multi_shot
25.96,900,100.0,1,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,9.0,28824400.0,20929800.0,24949800.0,33531500.0,35855000.0,144090500.0,multi_shot
0.0,900,100.0,2,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,,,,,,,,multi_shot
243.04,900,100.0,2,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,9.0,30808380.0,20793600.0,,,,51601980.0,multi_shot
